celebrity,hometown,x,y
Glass Wave,Palo Alto,37.4292,-122.138
Globelamp,California,35.4586,-119.355
Globus,California,35.4586,-119.355
Go Ahead,California,35.4586,-119.355
Go Sailor,Berkeley,37.8717,-122.275
GoGoGo Airheart,California,35.4586,-119.355
Goapele,California,35.4586,-119.355
Goatsnake,California,35.4586,-119.355
Goblin Cock,California,35.4586,-119.355
Golden Shoulders,Nevada City,39.2614,-121.019
Golden Void,California,35.4586,-119.355
Golden Youth,California,35.4586,-119.355
Goldfinger,Los Angeles,34.05,-118.25
Goldie Loc,Long Beach,33.7683,-118.196
Goldspot,Los Angeles,34.05,-118.25
Gonjasufi,California,35.4586,-119.355
GoodThunder,Los Angeles,34.05,-118.25
GoodWill & MGI,Los Angeles,34.05,-118.25
GoonRock,California,35.4586,-119.355
Gospel Gangstaz,South Los Angeles,33.9275,-118.277
Got a Girl,California,35.4586,-119.355
Grace Etsuko Lee,San Francisco,37.7833,-122.417
Grade 8,California,35.4586,-119.355
Graf Orlock,California,35.4586,-119.355
Graham Central Station,California,35.4586,-119.355
Grandaddy,California,35.4586,-119.355
Grant Lee Buffalo,California,35.4586,-119.355
Grass Widow,California,35.4586,-119.355
Grateful Dead,Palo Alto,37.4292,-122.138
Gratitude,California,35.4586,-119.355
Gravedigger Five,California,35.4586,-119.355
Grayceon,California,35.4586,-119.355
Green Day,East Bay (San Francisco Bay Area),37.7,-122.0
Greg K.,Glendale,34.1461,-118.255
Greg Kriesel,Glendale,34.1461,-118.255
Greg Laswell,California,35.4586,-119.355
Gregg Araki,Santa Barbara,34.4258,-119.714
Gregory Peck,La Jolla,32.84,-117.277
Greta,California,35.4586,-119.355
Grey,Los Angeles,34.05,-118.25
Greydon Square,California,35.4586,-119.355
Grip Inc.,California,35.4586,-119.355
Groovie Ghoulies,California,35.4586,-119.355
Groundation,California,35.4586,-119.355
Grupo Exterminador,Los Angeles,34.05,-118.25
Guerilla Black,Compton,33.8967,-118.225
Guji Lorenzana,Long Beach,33.7683,-118.196
Guns N' Roses,Los Angeles,34.05,-118.25
Gus Black,Los Angeles,34.05,-118.25
Guttermouth,Huntington Beach,33.6928,-118.0
Gwyneth Paltrow,Santa Monica,34.0219,-118.481
H.W.A.,California,35.4586,-119.355
HIRAX,Cypress,33.8183,-118.039
HSAS,California,35.4586,-119.355
Habeas Corpus,California,35.4586,-119.355
Haiku D'Etat,California,35.4586,-119.355
Hail the Sun,Chico,39.74,-121.85
Haim,San Fernando Valley,34.2385,-118.463
Hal Fowler,Tulare,36.2067,-119.342
Hal Patino,Nevada,39.0,-117.0
Half Way Home,California,35.4586,-119.355
Halifax,Thousand Oaks,34.1894,-118.875
Hallway Productionz,Stockton,37.9756,-121.301
Halo Circus,California,35.4586,-119.355
Halo Friendlies,Long Beach,33.7683,-118.196
"Hamilton, Joe Frank & Reynolds",California,35.4586,-119.355
Hammers of Misfortune,San Francisco,37.7833,-122.417
Hand of Fire,Concord,37.9781,-122.031
Hands,California,35.4586,-119.355
Hannah Rose,Simi Valley,34.2711,-118.739
Harbinger Complex,Fremont,37.5483,-121.999
Hard 'n Phirm,California,35.4586,-119.355
Harpers Bizarre,Santa Cruz,36.9719,-122.026
Harriet,California,35.4586,-119.355
Harry Van Dyke,California,35.4586,-119.355
Harry'O The Vandizzle,California,35.4586,-119.355
Harvester,California,35.4586,-119.355
Hatesex,California,35.4586,-119.355
Hatriot,California,35.4586,-119.355
Havalina,Long Beach,33.7683,-118.196
Hawnay Troof,Oakland,37.8044,-122.273
He Met Her,California,35.4586,-119.355
He's My Brother She's My Sister,California,35.4586,-119.355
Head Wound City,California,35.4586,-119.355
Headnoise,Orange County,33.67,-117.78
Headset,California,35.4586,-119.355
Health,California,35.4586,-119.355
Heart of Gold Band,California,35.4586,-119.355
Heartist,Southern California,34.0,-117.0
Hearts Like Lions,Long Beach,33.7683,-118.196
Heathen,California,35.4586,-119.355
Heather Baker,Yorba Linda,33.8885,-117.813
Heather Myles,Riverside,33.9481,-117.396
Heaven & Hell,California,35.4586,-119.355
Heavy Bones,California,35.4586,-119.355
Heavy Heavy Low Low,San Jose,37.3333,-121.9
Heavy Young Heathens,California,35.4586,-119.355
Heffron Drive,Burbank,34.1803,-118.328
Heidi Newfield,Healdsburg,38.6175,-122.866
Helen Baylor,California,35.4586,-119.355
Hell's Kitchen,Oakland,37.8044,-122.273
Hella,California,35.4586,-119.355
Hellbillys,California,35.4586,-119.355
Hellbound Glory,Nevada,39.0,-117.0
Hellion,Los Angeles,34.05,-118.25
Hellogoodbye,California,35.4586,-119.355
Help,California,35.4586,-119.355
Henning Lohner,Palo Alto,37.4292,-122.138
Henry Kaiser,San Francisco Bay Area,37.75,-122.283
Hepcat,California,35.4586,-119.355
Her Space Holiday,California,35.4586,-119.355
Heretic,California,35.4586,-119.355
Heritage Singers,Placerville,38.7297,-120.799
Heroin,California,35.4586,-119.355
Hey Violet,California,35.4586,-119.355
HeyMike!,Ventura County,34.2808,-119.295
Hi-C,California,35.4586,-119.355
Hickey,California,35.4586,-119.355
Hieroglyphics,California,35.4586,-119.355
High Inergy,California,35.4586,-119.355
High on Fire,Oakland,37.8044,-122.273
Hiimwaterdragon,East Bay (San Francisco Bay Area),37.7,-122.0
Hilary,California,35.4586,-119.355
Hippie Sabotage,Sacramento,38.5556,-121.469
Hippos of Doom,Huntington Beach,33.6928,-118.0
Hit-Boy,Fontana,34.1,-117.467
Hittman,Los Angeles,34.05,-118.25
Hodgy Beats,Pasadena,34.1561,-118.132
Hodgy Star,Pasadena,34.1561,-118.132
Holcombe Waller,California,35.4586,-119.355
Hole,California,35.4586,-119.355
Holly McPeak,Manhattan Beach,33.8889,-118.405
Holly and the Italians,Los Angeles,34.05,-118.25
Hollywood Monsters,California,35.4586,-119.355
Hollywood Rose,California,35.4586,-119.355
Holy Grail,California,35.4586,-119.355
Holy Molar,California,35.4586,-119.355
Holy Soldier,Los Angeles,34.05,-118.25
Holychild,California,35.4586,-119.355
Home Grown,Orange County,33.67,-117.78
Home Town Hero,Southern California,34.0,-117.0
Honey Cone,California,35.4586,-119.355
HoneyHoney,California,35.4586,-119.355
Honk,California,35.4586,-119.355
Hoobastank,California,35.4586,-119.355
Hoods,Sacramento,38.5556,-121.469
Hopsin,California,35.4586,-119.355
Horse the Band,California,35.4586,-119.355
Hot Buttered Rum,San Francisco Bay Area,37.75,-122.283
Hot Dollar,Compton,33.8967,-118.225
Hot Snakes,San Diego,32.715,-117.162
Hot Tuna,San Francisco,37.7833,-122.417
Hotel Books,Porterville,36.0686,-119.027
Hotwire,Newbury Park,34.1842,-118.91
Houston,California,35.4586,-119.355
Howard Andrew,Walnut Creek,37.9064,-122.065
Howard Hewett,California,35.4586,-119.355
Howlin' Rain,California,35.4586,-119.355
Huey Lewis,Marin County,38.04,-122.74
Human Clay,Los Angeles,34.05,-118.25
Human Drama,California,35.4586,-119.355
Human Waste Project,California,35.4586,-119.355
Humans,Santa Cruz,36.9719,-122.026
Humble Gods,Hermosa Beach,33.8664,-118.4
"Hungry, Hungry Ghost",San Francisco,37.7833,-122.417
Hunter Burgan,Grass Valley,39.2192,-121.058
Hunter G. K. Thompson,Redding,40.5767,-122.37
Hunter G.K. Thompson,Redding,40.5767,-122.37
Huntress,California,35.4586,-119.355
Hunx and His Punx,California,35.4586,-119.355
Hurt-M-Badd,California,35.4586,-119.355
Hymie's Basement,California,35.4586,-119.355
Hyper Crush,California,35.4586,-119.355
Hypnogaja,California,35.4586,-119.355
I Am Empire,California,35.4586,-119.355
I Am Ghost,Long Beach,33.7683,-118.196
I Am Spoonbender,California,35.4586,-119.355
I Am They,Carson City,39.1608,-119.754
I See Hawks In L.A.,California,35.4586,-119.355
I the Mighty,California,35.4586,-119.355
Ian Flannon Taylor,Lake Arrowhead,34.2483,-117.189
Ian Taylor,Lake Arrowhead,34.2483,-117.189
Icky Boyfriends,California,35.4586,-119.355
Idaho,California,35.4586,-119.355
Idiot Flesh,California,35.4586,-119.355
Iglu & Hartly,California,35.4586,-119.355
Ignite,California,35.4586,-119.355
Ikey Owens,Long Beach,33.7683,-118.196
Ilan Rubin,Bonita,32.6583,-117.035
Ill Repute,California,35.4586,-119.355
Illeana Douglas,Los Angeles,34.05,-118.25
Illeana J Douglas,Los Angeles,34.05,-118.25
Illenium,San Francisco,37.7833,-122.417
Ima Robot,California,35.4586,-119.355
Imagine Dragons,Nevada,39.0,-117.0
Immature,California,35.4586,-119.355
Impaled,Oakland,37.8044,-122.273
Impellitteri,California,35.4586,-119.355
Impending Doom,California,35.4586,-119.355
Imperative Reaction,California,35.4586,-119.355
Imperial Teen,California,35.4586,-119.355
In Fear and Faith,California,35.4586,-119.355
In Theory (band,California,35.4586,-119.355
In This Moment,California,35.4586,-119.355
Inara George,California,35.4586,-119.355
Inc. No World,California,35.4586,-119.355
Inch,California,35.4586,-119.355
Incubus,Calabasas,34.1383,-118.661
Indian Summer,California,35.4586,-119.355
Infidel Inc.,Silicon Valley,37.4,-122.0
Innaway,California,35.4586,-119.355
Inside Out,California,35.4586,-119.355
Into The Presence,California,35.4586,-119.355
Intro5pect,California,35.4586,-119.355
Intronaut,California,35.4586,-119.355
Intuition,California,35.4586,-119.355
Invisibl Skratch Piklz,California,35.4586,-119.355
Invitro,California,35.4586,-119.355
Iration,California,35.4586,-119.355
Iron Butterfly,San Diego,32.715,-117.162
Iron Lung,Nevada,39.0,-117.0
Irving,California,35.4586,-119.355
Isaac Baron,Menlo Park,37.4528,-122.183
Isaiah \\\\Ikey\\\\ Owens,Long Beach,33.7683,-118.196
Isocracy,Berkeley,37.8717,-122.275
Isyss,California,35.4586,-119.355
It's OK!,California,35.4586,-119.355
It's a Beautiful Day,California,35.4586,-119.355
Ithaka,Southern California,34.0,-117.0
Ithaka Darin Pappas,Southern California,34.0,-117.0
J Boog,Compton,33.8967,-118.225
J Church,San Francisco,37.7833,-122.417
J Peezy,San Jose,37.3333,-121.9
J Smooth,California,35.4586,-119.355
J-Ro,California,35.4586,-119.355
J. J. Fad,California,35.4586,-119.355
J. Stalin,Oakland,37.8044,-122.273
J. Wells,California,35.4586,-119.355
J.Lately,Sebastopol,38.3992,-122.827
J.Period,California,35.4586,-119.355
J.R. Rotem,Moraga,37.835,-122.13
JFA,Southern California,34.0,-117.0
JGivens,Nevada,39.0,-117.0
JJ White,Yuba City,39.1347,-121.626
JS,California,35.4586,-119.355
JT the Bigga Figga,San Francisco,37.7833,-122.417
Jabbawockeez,San Diego,32.715,-117.162
Jack Cooper,La Habra,33.9319,-117.946
Jack LaLanne,California,35.4586,-119.355
Jack Maness,Long Beach,33.7683,-118.196
Jack O'Neill,Santa Cruz,36.9719,-122.026
Jack Palladino,San Francisco,37.7833,-122.417
Jack Russell,Montebello,34.0144,-118.114
Jack Schaeffer,California,35.4586,-119.355
Jack Shirley,Palo Alto,37.4292,-122.138
Jack T. Chick,California,35.4586,-119.355
Jack Zwerner,Nevada,39.0,-117.0
Jack Ü,California,35.4586,-119.355
Jack's Mannequin,California,35.4586,-119.355
Jackie Loughery,California,35.4586,-119.355
Jackson Browne,California,35.4586,-119.355
Jackson United,California,35.4586,-119.355
Jacob Dalton,Reno,39.5272,-119.822
Jacques Brautbar,Los Angeles,34.05,-118.25
Jade Puget,California,35.4586,-119.355
Jadin Wong,California,35.4586,-119.355
Jae Deal,California,35.4586,-119.355
Jae Synth,Sacramento,38.5556,-121.469
Jah Paul Jo,California,35.4586,-119.355
Jake Hamilton & the Sound,Rancho Cucamonga,34.1233,-117.579
Jakob Dylan,California,35.4586,-119.355
James Brolin,California,35.4586,-119.355
James Dean,Santa Monica,34.0219,-118.481
James Durbin,Santa Cruz,36.9719,-122.026
James Ervan Parker,La Habra,33.9319,-117.946
James Fauntleroy,Inglewood,33.9575,-118.346
James Fauntleroy II,Inglewood,33.9575,-118.346
James House,Sacramento,38.5556,-121.469
James Robinson,California,35.4586,-119.355
Jamey Blaze,East Bay (San Francisco Bay Area),37.7,-122.0
Jamie Annette Dantzscher,Palmdale,34.5794,-118.117
Jamie Dantzscher,Palmdale,34.5794,-118.117
Jamie Stewart,Los Angeles,34.05,-118.25
Jamie's Elsewhere,California,35.4586,-119.355
JamisonParker,Orange County,33.67,-117.78
Jan and Dean,Los Angeles,34.05,-118.25
Jane's Addiction,Los Angeles,34.05,-118.25
Janelle Wang,San Francisco Bay Area,37.75,-122.283
Janet Dacal,California,35.4586,-119.355
Janet Robin,California,35.4586,-119.355
Janet Weiss,California,35.4586,-119.355
Jared Emerson-Johnson,California,35.4586,-119.355
Jared Gomes,Fullerton,33.88,-117.929
Jasmine Sandlas,California,35.4586,-119.355
Jasmine Villegass,San Jose,37.3333,-121.9
Jasmyne A. Cannick,Compton,33.8967,-118.225
Jasmyne Cannick,Compton,33.8967,-118.225
Jason Alexander Cruz,Southern California,34.0,-117.0
Jason Cruz,Southern California,34.0,-117.0
Jason Evigan,California,35.4586,-119.355
Jason Falkner,Agoura Hills,34.1533,-118.762
Jason Nevins,California,35.4586,-119.355
Jason Ross,Chico,39.74,-121.85
Jason Thirsk,California,35.4586,-119.355
Jason Torbert,Davis,38.5539,-121.738
Jason Wade,Camarillo,34.2333,-119.033
Jasper Dolphin,California,35.4586,-119.355
Javen,Hollywood,34.1,-118.333
Jay Tee,Vallejo,38.1131,-122.236
Jaycee Dugard,Minden,38.9561,-119.769
Jayme Dee,Redondo Beach,33.8581,-118.379
Jaymes Reunion,Bakersfield,35.3667,-119.017
Jayo Felony,California,35.4586,-119.355
Jazzyfatnastees,California,35.4586,-119.355
Je'kob,California,35.4586,-119.355
Jean-Robert Bellande,Nevada,39.0,-117.0
Jeanette Jurado,Pico Rivera,33.9889,-118.089
Jeff Bernat,Reno,39.5272,-119.822
Jeff Blue,Los Angeles,34.05,-118.25
Jeff Dean,Nevada,39.0,-117.0
Jeff Jericho,Los Angeles,34.05,-118.25
Jeff Oster,Alameda,37.7561,-122.274
Jeff Rona,Culver City,34.0078,-118.401
Jeff Trott,California,35.4586,-119.355
Jefferson Airplane,California,35.4586,-119.355
Jefferson Starship,California,35.4586,-119.355
Jeffrey Blue,Los Angeles,34.05,-118.25
Jeffrey Combs,Lompoc,34.6461,-120.46
Jeffrey Daniel,California,35.4586,-119.355
Jeffrey Luck Lucas,San Francisco,37.7833,-122.417
Jeffrey Peterson,Santa Barbara,34.4258,-119.714
Jeffries Fan Club,California,35.4586,-119.355
Jefre Cantu-Ledesma,California,35.4586,-119.355
Jel,Oakland,37.8044,-122.273
Jellyfish,California,35.4586,-119.355
Jemimah Puddleduck,California,35.4586,-119.355
Jenette Goldstein,California,35.4586,-119.355
Jenna Lee,California,35.4586,-119.355
Jennifer Anne Kessy,San Juan Capistrano,33.4994,-117.662
Jennifer C. Douglas,San Diego,32.715,-117.162
Jennifer Douglas,San Diego,32.715,-117.162
Jennifer Fopma,California,35.4586,-119.355
Jennifer Hanson,La Habra,33.9319,-117.946
Jennifer Kessy,San Juan Capistrano,33.4994,-117.662
Jennifer Kropp,Hawthorne,33.9172,-118.349
Jennifer Warnes,Anaheim,33.8361,-117.89
Jenny Kropp,Hawthorne,33.9172,-118.349
Jenny Lee Lindberg,California,35.4586,-119.355
Jenny Lewis,California,35.4586,-119.355
Jenoah,San Bernardino,34.1,-117.3
Jeremiah Jae,California,35.4586,-119.355
Jerome Fontamillas,California,35.4586,-119.355
Jerry Buss,Los Angeles,34.05,-118.25
Jerry Dixon,Pasadena,34.1561,-118.132
Jerry Garcia Acoustic Band,California,35.4586,-119.355
Jerry Joseph,Arcata,40.8664,-124.083
Jerry Mathers,California,35.4586,-119.355
Jerry Peters,California,35.4586,-119.355
Jerry Riopelle,California,35.4586,-119.355
Jesse Lee,Palo Alto,37.4292,-122.138
Jessi Jae Joplin,California,35.4586,-119.355
Jessica Denay,Los Angeles,34.05,-118.25
Jessica Pratt,San Francisco,37.7833,-122.417
Jessica Riddle,California,35.4586,-119.355
Jesters of Destiny,California,35.4586,-119.355
Jetty Rae,Happy Camp,41.7967,-123.375
Jhené Aiko,Ladera Heights,33.9889,-118.374
"Jim ""Motorhead"" Sherwood",California,35.4586,-119.355
Jim Chaffin,Fresno,36.7478,-119.772
Jim Klein,Los Angeles,34.05,-118.25
Jim Lindberg,Hermosa Beach,33.8664,-118.4
Jim McLaughlin,Malibu,34.03,-118.779
Jim Parker,La Habra,33.9319,-117.946
Jim Sherwood,California,35.4586,-119.355
Jimmy Burney,California,35.4586,-119.355
Jimmy Demers,Los Angeles,34.05,-118.25
Jimmy Luxury,San Francisco,37.7833,-122.417
Jimmy Z,North Highlands,38.6731,-121.373
Jimmy Zavala,North Highlands,38.6731,-121.373
Joanna St. Claire,California,35.4586,-119.355
Jocelyn Enriquez,San Francisco,37.7833,-122.417
Joe Bartholdi Jr,Nevada,39.0,-117.0
Joe Escalante,Long Beach,33.7683,-118.196
Joe Nanini,California,35.4586,-119.355
Joe Puerta,California,35.4586,-119.355
Joel Geddis,California,35.4586,-119.355
Joel Piper,San Diego,32.715,-117.162
Joel Rafael,San Diego County,33.02,-116.77
Joey Cape's Bad Loud,Goleta,34.4406,-119.814
Joey Fatts,California,35.4586,-119.355
Joey Scarbury,Ontario,34.0528,-117.628
Joey Waronker,California,35.4586,-119.355
John Bahler,Inglewood,33.9575,-118.346
John Bettis,Long Beach,33.7683,-118.196
John Dawson,California,35.4586,-119.355
John Densmore,California,35.4586,-119.355
John Doe,California,35.4586,-119.355
John Esposito,Nevada,39.0,-117.0
John French,San Bernardino,34.1,-117.3
John J. B. Wilson,Santa Monica,34.0219,-118.481
John Juanda,Marina del Rey,33.9794,-118.453
John Kahn,Beverly Hills,34.0731,-118.399
John Kaizan Neptune,Oakland,37.8044,-122.273
John McEuen,California,35.4586,-119.355
John Phan,California,35.4586,-119.355
John Shanks,California,35.4586,-119.355
John Speraw,California,35.4586,-119.355
John Stephen French,San Bernardino,34.1,-117.3
John Stewart,San Diego,32.715,-117.162
John Torres,California,35.4586,-119.355
Johnny Bonnel,California,35.4586,-119.355
Johnny Burke,Antioch,38.005,-121.806
Johnny Crash,California,35.4586,-119.355
Johnny Kitagawa,California,35.4586,-119.355
Jon B.,Pasadena,34.1561,-118.132
Jon C,California,35.4586,-119.355
Jon Faddis,California,35.4586,-119.355
Jon Pardi,Dixon,38.4492,-121.827
Jon-John Robinson,California,35.4586,-119.355
Jonathan Kos-Read,California,35.4586,-119.355
Jonathan Wilson,Los Angeles,34.05,-118.25
Jonezen,California,35.4586,-119.355
Jonn Hart,Oakland,37.8044,-122.273
Jonnie and Brookie,California,35.4586,-119.355
Jonny Wickersham,California,35.4586,-119.355
Jonwayne,Southern California,34.0,-117.0
Jordan Corey,San Francisco Bay Area,37.75,-122.283
Jordan Dalrymple,California,35.4586,-119.355
Joseph Meyer,Modesto,37.6614,-120.994
Josh Gabriel,California,35.4586,-119.355
Josh Homme,Palm Desert,33.7222,-116.374
Joshua,California,35.4586,-119.355
Josiah James,Cool,38.8872,-121.015
Journey,California,35.4586,-119.355
Joy Enriquez,Whittier,33.9656,-118.024
"Joyce ""Fenderella"" Irby",California,35.4586,-119.355
Joyce Irby,California,35.4586,-119.355
Joyce Manor,California,35.4586,-119.355
Juan Rivera,Long Beach,33.7683,-118.196
Jubilee,California,35.4586,-119.355
Jude Gold,Berkeley,37.8717,-122.275
Jude Milhon,San Francisco Bay Area,37.75,-122.283
Judgement Day,California,35.4586,-119.355
Judith Milhon,San Francisco Bay Area,37.75,-122.283
Judy Rodman,Riverside,33.9481,-117.396
Julian Temple Band,California,35.4586,-119.355
Julian Wass,California,35.4586,-119.355
Julien-K,California,35.4586,-119.355
Julio G,Lynwood,33.9247,-118.202
June Pointer,Oakland,37.8044,-122.273
Jurassic 5,Los Angeles,34.05,-118.25
Justice League,California,35.4586,-119.355
Justin Baldoni,Medford,42.3238,-122.876
Justin Chart,California,35.4586,-119.355
Justin Marler,Chico,39.74,-121.85
Justin Mauriello,La Habra,33.9319,-117.946
Justin Pearson,San Diego,32.715,-117.162
Justin Pinkerton,California,35.4586,-119.355
Justin Roiland,Manteca,37.8028,-121.221
Jutty Ranx,California,35.4586,-119.355
K-DEE,California,35.4586,-119.355
K-Dee,California,35.4586,-119.355
KBC Band,California,35.4586,-119.355
KCSG,Los Angeles,34.05,-118.25
KING,California,35.4586,-119.355
KSM,California,35.4586,-119.355
Kaba Modern,Irvine,33.6694,-117.823
Kam,California,35.4586,-119.355
Kan Kick,California,35.4586,-119.355
Kanaye Nagasawa,Santa Rosa,38.4486,-122.705
Kane,California,35.4586,-119.355
Kankick,California,35.4586,-119.355
KansasCali,Chino Hills,33.9753,-117.759
Kara Scott,Santa Barbara,34.4258,-119.714
Karate High School (KHS,San Francisco,37.7833,-122.417
Karch Kiraly,San Clemente,33.4378,-117.62
Karen Carpenter,California,35.4586,-119.355
Karl Auerbach,Santa Cruz,36.9719,-122.026
Karla Bonoff,Santa Monica,34.0219,-118.481
Karmacoda,California,35.4586,-119.355
Karsta Lowe,Rancho Santa Fe,33.0239,-117.2
Karyn White,California,35.4586,-119.355
Kassem G,California,35.4586,-119.355
KassemG,California,35.4586,-119.355
Kathy and Carol,Vista,33.1936,-117.241
Kaura,Berkeley,37.8717,-122.275
Kausion,California,35.4586,-119.355
Kazha,Los Angeles,34.05,-118.25
Keak da Sneak,Oakland,37.8044,-122.273
Keaton Simons,California,35.4586,-119.355
Keb' Mo',Compton,33.8967,-118.225
Keel,California,35.4586,-119.355
Keenwild,California,35.4586,-119.355
Kehlani,California,35.4586,-119.355
Kehlani Parrish,California,35.4586,-119.355
Keith Pringle,Los Angeles,34.05,-118.25
Kemuri,California,35.4586,-119.355
Kenna James,Nevada,39.0,-117.0
Kennedi Edney,Chino,34.0178,-117.69
Kennedy,Thousand Oaks,34.1894,-118.875
Kenny Lyon,California,35.4586,-119.355
Kero One,California,35.4586,-119.355
Kevin Blechdom,California,35.4586,-119.355
Kevin Cadogan,Berkeley,37.8717,-122.275
Kevin Costner,California,35.4586,-119.355
Kevin L. Evans,Los Angeles,34.05,-118.25
Kevin Lynch,San Luis Obispo,35.2742,-120.663
Kevin Song,Hacienda Heights,34.0006,-117.969
Kevorkian Death Cycle,California,35.4586,-119.355
Kevtone,King City,36.2128,-121.126
Khalil,Sacramento,38.5556,-121.469
Kherington Payne,Placentia,33.8825,-117.855
Kid Beyond,California,35.4586,-119.355
Kid Cadaver,California,35.4586,-119.355
Kidd Upstairs,Oakland,37.8044,-122.273
Kiddo,California,35.4586,-119.355
Kiev,Orange,33.8031,-117.832
Kik Tracee,California,35.4586,-119.355
Kill The Scientist,California,35.4586,-119.355
Killing the Dream,California,35.4586,-119.355
Killradio,California,35.4586,-119.355
Kim Walker-Smith,California,35.4586,-119.355
Kina Grannis,Mission Viejo,33.6128,-117.656
King Tee,Compton,33.8967,-118.225
Kirby Dominant,California,35.4586,-119.355
Kisses,California,35.4586,-119.355
Kisses for Kings,California,35.4586,-119.355
Kitten,California,35.4586,-119.355
Kitty Margolis,San Mateo,37.5542,-122.313
Klymaxx,California,35.4586,-119.355
Knapsack,California,35.4586,-119.355
Kneebody,California,35.4586,-119.355
Knights of the New Crusade,San Francisco,37.7833,-122.417
Knower,Los Angeles,34.05,-118.25
Kokane,Pomona,34.0608,-117.756
Kommunity FK,California,35.4586,-119.355
Korn,Bakersfield,35.3667,-119.017
Korn band members,California,35.4586,-119.355
Kossisko,Berkeley,37.8717,-122.275
Kottak,California,35.4586,-119.355
Kottonmouth Kings,Placentia,33.8825,-117.855
Krash Karma,California,35.4586,-119.355
Kreayshawn,Oakland,37.8044,-122.273
Krista Arrieta Kleiner,Fullerton,33.88,-117.929
Krista Kleiner,Fullerton,33.88,-117.929
Krista Vansant,Redlands,34.0547,-117.183
Kristen Lawrence,Orange County,33.67,-117.78
Kristene DiMarco,Redding,40.5767,-122.37
Kristy Gazes,California,35.4586,-119.355
Kristy Lee Cook,Selma,42.2667,-123.6
Krystal Meyers,Orange County,33.67,-117.78
Kung Fu Vampire,San Jose,37.3333,-121.9
Kurt James,South Pasadena,34.1161,-118.15
Kurt Travis,Sacramento,38.5556,-121.469
Kwanza Jones,Los Angeles,34.05,-118.25
Kye Palmer,Redlands,34.0547,-117.183
Kyle Eastwood,California,35.4586,-119.355
Kyle Gass Band,California,35.4586,-119.355
Kyng,California,35.4586,-119.355
Kyuss,Palm Desert,33.7222,-116.374
L.A. Dream Team,California,35.4586,-119.355
L.A. Guns,California,35.4586,-119.355
L.A. Symphony,California,35.4586,-119.355
L.A.P.D.,Bakersfield,35.3667,-119.017
L.E. Doug Staiman,California,35.4586,-119.355
L.V.,California,35.4586,-119.355
LBC Crew,California,35.4586,-119.355
LMFAO,California,35.4586,-119.355
LMNT,California,35.4586,-119.355
LOONER,Los Angeles,34.05,-118.25
LPG,California,35.4586,-119.355
LS-Dom,Windsor,38.5461,-122.805
La Plebe,California,35.4586,-119.355
La Sera,California,35.4586,-119.355
La'Myia Good,California,35.4586,-119.355
Lab Waste,California,35.4586,-119.355
Lacy Dagen,Pleasanton,37.6625,-121.882
Lacy Michele Dagen,Pleasanton,37.6625,-121.882
Lagwagon,Goleta,34.4406,-119.814
Lamb,San Francisco,37.7833,-122.417
Lana Lane,Santa Rosa,38.4486,-122.705
Lane 8,California,35.4586,-119.355
Lantz L'Amour,California,35.4586,-119.355
Larisa Stow & Shakti Tribe,Long Beach,33.7683,-118.196
Larry Norman,San Jose,37.3333,-121.9
Lars Frederiksen,Campbell,37.2839,-121.955
Las Cafeteras,East Los Angeles,34.0333,-118.167
Las Hermanas Montoya,San Jose,37.3333,-121.9
Last Falling,California,35.4586,-119.355
Latch Key Kid,California,35.4586,-119.355
Latent Anxiety,California,35.4586,-119.355
Latin Soul Syndicate,California,35.4586,-119.355
Lauren Fendrick,Carlsbad,33.1219,-117.297
Lauren Iungerich,Rancho Palos Verdes,33.7583,-118.364
Laurie Lewis,Long Beach,33.7683,-118.196
Lavender Diamond,California,35.4586,-119.355
Lawndale,California,35.4586,-119.355
Layne Flack,Nevada,39.0,-117.0
Lazlo Bane,California,35.4586,-119.355
Le Shok,California,35.4586,-119.355
Le Youth,California,35.4586,-119.355
Leaders,Hollister,36.8339,-121.402
Leah Andreone,California,35.4586,-119.355
Learning Music,California,35.4586,-119.355
Leather Charm,California,35.4586,-119.355
Leatherwolf,California,35.4586,-119.355
Led Zepagain,Ventura,34.275,-119.228
Lee Presson and the Nails,California,35.4586,-119.355
Lee Townsend,Long Beach,33.7683,-118.196
Left Brain,California,35.4586,-119.355
Lefty,California,35.4586,-119.355
Legaci,California,35.4586,-119.355
Legion of Mary,San Francisco Bay Area,37.75,-122.283
Leif Garrett,California,35.4586,-119.355
Leland Sklar,Southern California,34.0,-117.0
Lennie Moore,Hanford,36.3275,-119.646
Lennon Sisters,California,35.4586,-119.355
Leon Sylvers III,California,35.4586,-119.355
Leroy Vinnegar,California,35.4586,-119.355
Les Friction,California,35.4586,-119.355
Leslie Becker,Manhattan Beach,33.8889,-118.405
Leslie and the Badgers,California,35.4586,-119.355
Less,California,35.4586,-119.355
Let's Go Bowling,California,35.4586,-119.355
Let's Go Sailing,California,35.4586,-119.355
Letter Kills,Temecula,33.5033,-117.124
Letting Up Despite Great Faults,California,35.4586,-119.355
Levi Robin,Huntington Beach,33.6928,-118.0
"Levi Seacer, Jr.",Richmond,37.9358,-122.348
Leviathan Brothers,California,35.4586,-119.355
Levinhurst,California,35.4586,-119.355
Lew Nottke,California,35.4586,-119.355
Lex Land,Orange County,33.67,-117.78
Libbie Schrader,California,35.4586,-119.355
Liberteer,Santa Cruz,36.9719,-122.026
Life After Life,California,35.4586,-119.355
Lifesavers Underground,California,35.4586,-119.355
